iter	Passed	Remaining
0	53	26930
1	56	13950
2	57	9587
3	59	7403
4	61	6099
5	63	5225
6	65	4598
7	67	4128
8	69	3769
9	70	3474
10	72	3233
11	74	3031
12	76	2861
13	78	2714
14	80	2587
15	81	2479
16	83	2380
17	85	2293
18	87	2216
19	89	2146
20	91	2090
21	93	2030
22	95	1974
23	97	1924
24	98	1877
25	100	1835
26	102	1794
27	104	1758
28	106	1724
29	108	1693
30	109	1664
31	111	1635
32	113	1608
33	115	1585
34	117	1560
35	119	1538
36	121	1517
37	123	1496
38	124	1477
39	126	1457
40	128	1439
41	130	1422
42	132	1406
43	134	1390
44	136	1375
45	137	1360
46	139	1346
47	141	1333
48	143	1320
49	145	1308
50	147	1295
51	149	1284
52	150	1272
53	152	1261
54	154	1251
55	156	1240
56	158	1231
57	160	1223
58	162	1213
59	164	1203
60	166	1197
61	168	1190
62	170	1181
63	172	1173
64	174	1165
65	176	1157
66	177	1149
67	179	1142
68	181	1134
69	183	1127
70	185	1119
71	187	1113
72	189	1106
73	190	1099
74	192	1093
75	194	1086
76	196	1080
77	198	1074
78	200	1068
79	202	1062
80	204	1056
81	206	1051
82	208	1045
83	209	1039
84	211	1034
85	213	1028
86	215	1022
87	217	1017
88	219	1012
89	221	1007
90	222	1002
91	224	997
92	226	991
93	228	987
94	230	982
95	232	977
96	234	972
97	236	968
98	237	963
99	239	959
100	241	954
101	243	950
102	245	945
103	247	941
104	249	937
105	251	933
106	252	929
107	254	925
108	256	920
109	258	916
110	260	912
111	262	908
112	264	904
113	265	900
114	267	896
115	269	892
116	271	888
117	273	884
118	275	880
119	276	876
120	278	873
121	280	869
122	282	865
123	284	862
124	286	858
125	288	855
126	289	851
127	291	848
128	293	844
129	295	841
130	297	838
131	299	834
132	301	831
133	303	828
134	305	825
135	307	821
136	309	818
137	310	815
138	312	812
139	314	808
140	316	805
141	318	802
142	320	799
143	322	796
144	324	793
145	326	790
146	328	787
147	329	784
148	331	781
149	333	777
150	335	774
151	336	771
152	338	768
153	340	765
154	342	762
155	344	759
156	346	756
157	348	754
158	350	751
159	352	748
160	354	745
161	355	742
162	357	739
