Unnamed: 0,date,Tmax_C,Tmin_C,RHmax_pct,Precip_sum_mm,Wind_max_kmh,Solar_rad_J_m2,province,latitude_x,longitude_x,Precip_sum_7d,Precip_sum_30d,Key,latitude_y,longitude_y,scan,track,acq_time,satellite,instrument,version,bright_ti5,frp,daynight,type,geometry,index_right,GID_1,GID_0,COUNTRY,FIRE,is_fire
82,2023-02-26,32.8,21.6,80,0.0,20.8,23.36,An Giang,10.5216,105.1259,5.800000000000001,16.599999999999998,An Giang_2023-02-26,10.35979,105.39555,0.35,0.57,654.0,N,VIIRS,2.0,295.98,8.02,D,0.0,POINT (105.39555 10.35979),0.0,VNM.1_1,VNM,Vietnam,1,1
142,2023-03-07,32.4,19.8,89,0.0,15.2,24.43,An Giang,10.5216,105.1259,0.0,16.6,An Giang_2023-03-07,10.27472,105.42571,0.33,0.55,545.0,N,VIIRS,2.0,300.11,6.11,D,0.0,POINT (105.42571 10.27472),0.0,VNM.1_1,VNM,Vietnam,1,1
146,2023-03-07,32.4,19.8,89,0.0,15.2,24.43,An Giang,10.5216,105.1259,0.0,16.6,An Giang_2023-03-07,10.49301,104.80457,0.36,0.57,545.0,N,VIIRS,2.0,297.02,5.95,D,0.0,POINT (104.80457 10.49301),0.0,VNM.1_1,VNM,Vietnam,1,1
172,2023-03-09,33.2,20.8,96,0.0,18.6,24.2,An Giang,10.5216,105.1259,0.0,15.500000000000002,An Giang_2023-03-09,10.46379,105.3319,0.55,0.51,648.0,N,VIIRS,2.0,303.4,7.49,D,0.0,POINT (105.3319 10.46379),0.0,VNM.1_1,VNM,Vietnam,1,0
189,2023-03-10,33.1,20.8,90,0.0,12.3,20.8,An Giang,10.5216,105.1259,0.0,15.4,An Giang_2023-03-10,10.60315,105.18149,0.43,0.38,629.0,N,VIIRS,2.0,302.42,7.36,D,0.0,POINT (105.18149 10.60315),0.0,VNM.1_1,VNM,Vietnam,1,0
193,2023-03-10,33.1,20.8,90,0.0,12.3,20.8,An Giang,10.5216,105.1259,0.0,15.4,An Giang_2023-03-10,10.54401,104.92439,0.42,0.38,629.0,N,VIIRS,2.0,305.44,2.81,D,0.0,POINT (104.92439 10.54401),0.0,VNM.1_1,VNM,Vietnam,1,0
212,2023-03-10,33.1,20.8,90,0.0,12.3,20.8,An Giang,10.5216,105.1259,0.0,15.4,An Giang_2023-03-10,10.49031,104.82297,0.42,0.37,629.0,N,VIIRS,2.0,306.01,10.05,D,0.0,POINT (104.82297 10.49031),0.0,VNM.1_1,VNM,Vietnam,1,0
221,2023-03-10,33.1,20.8,90,0.0,12.3,20.8,An Giang,10.5216,105.1259,0.0,15.4,An Giang_2023-03-10,10.41753,105.16463,0.43,0.38,629.0,N,VIIRS,2.0,300.95,3.08,D,0.0,POINT (105.16463 10.41753),0.0,VNM.1_1,VNM,Vietnam,1,0
229,2023-03-11,34.0,21.2,93,0.0,14.7,21.42,An Giang,10.5216,105.1259,0.0,15.1,An Giang_2023-03-11,10.47052,105.33061,0.42,0.38,610.0,N,VIIRS,2.0,305.18,9.37,D,0.0,POINT (105.33061 10.47052),0.0,VNM.1_1,VNM,Vietnam,1,0
231,2023-03-11,34.0,21.2,93,0.0,14.7,21.42,An Giang,10.5216,105.1259,0.0,15.1,An Giang_2023-03-11,10.28759,105.43104,0.42,0.38,610.0,N,VIIRS,2.0,303.5,3.93,D,0.0,POINT (105.43104 10.28759),0.0,VNM.1_1,VNM,Vietnam,1,0
262,2023-03-13,33.9,21.8,91,0.1,18.9,22.94,An Giang,10.5216,105.1259,0.1,15.2,An Giang_2023-03-13,10.45423,105.18954,0.54,0.68,533.0,N,VIIRS,2.0,294.69,15.78,D,0.0,POINT (105.18954 10.45423),0.0,VNM.1_1,VNM,Vietnam,1,1
271,2023-03-14,33.0,20.8,96,0.0,18.8,25.09,An Giang,10.5216,105.1259,0.1,15.2,An Giang_2023-03-14,10.47393,105.0415,0.34,0.56,654.0,N,VIIRS,2.0,300.8,2.92,D,0.0,POINT (105.0415 10.47393),0.0,VNM.1_1,VNM,Vietnam,1,0
284,2023-03-15,34.4,21.8,83,0.0,15.6,24.4,An Giang,10.5216,105.1259,0.1,15.2,An Giang_2023-03-15,10.84903,105.11214,0.51,0.41,636.0,N,VIIRS,2.0,305.86,6.96,D,0.0,POINT (105.11214 10.84903),0.0,VNM.1_1,VNM,Vietnam,1,0
286,2023-03-15,34.4,21.8,83,0.0,15.6,24.4,An Giang,10.5216,105.1259,0.1,15.2,An Giang_2023-03-15,10.86915,105.17159,0.51,0.41,636.0,N,VIIRS,2.0,303.08,4.21,D,0.0,POINT (105.17159 10.86915),0.0,VNM.1_1,VNM,Vietnam,1,0
287,2023-03-15,34.4,21.8,83,0.0,15.6,24.4,An Giang,10.5216,105.1259,0.1,15.2,An Giang_2023-03-15,10.86843,105.17349,0.52,0.41,636.0,N,VIIRS,2.0,302.41,5.31,D,0.0,POINT (105.17349 10.86843),0.0,VNM.1_1,VNM,Vietnam,1,0
323,2023-03-16,34.5,22.6,91,0.0,16.8,23.31,An Giang,10.5216,105.1259,0.1,15.2,An Giang_2023-03-16,10.50026,105.27856,0.39,0.36,617.0,N,VIIRS,2.0,301.41,10.13,D,0.0,POINT (105.27856 10.50026),0.0,VNM.1_1,VNM,Vietnam,1,0
420,2023-03-20,34.6,23.8,91,0.1,12.8,20.35,An Giang,10.5216,105.1259,0.4,15.3,An Giang_2023-03-20,10.36112,105.29622,0.43,0.46,642.0,N,VIIRS,2.0,298.68,19.91,D,0.0,POINT (105.29622 10.36112),0.0,VNM.1_1,VNM,Vietnam,1,1
470,2023-03-21,35.1,23.1,95,0.0,15.3,23.81,An Giang,10.5216,105.1259,0.4,6.7,An Giang_2023-03-21,10.43202,104.94442,0.39,0.36,623.0,N,VIIRS,2.0,302.35,4.27,D,0.0,POINT (104.94442 10.43202),0.0,VNM.1_1,VNM,Vietnam,1,0
550,2023-03-22,36.1,24.9,92,0.0,12.2,22.94,An Giang,10.5216,105.1259,0.4,2.3,An Giang_2023-03-22,10.34146,104.95134,0.52,0.41,604.0,N,VIIRS,2.0,303.01,8.38,D,0.0,POINT (104.95134 10.34146),0.0,VNM.1_1,VNM,Vietnam,1,0
554,2023-03-22,36.1,24.9,92,0.0,12.2,22.94,An Giang,10.5216,105.1259,0.4,2.3,An Giang_2023-03-22,10.29721,105.42381,0.49,0.4,604.0,N,VIIRS,2.0,300.33,7.18,D,0.0,POINT (105.42381 10.29721),0.0,VNM.1_1,VNM,Vietnam,1,0
561,2023-03-23,35.4,24.2,95,0.0,10.7,23.41,An Giang,10.5216,105.1259,0.4,2.2,An Giang_2023-03-23,10.27539,105.1884,0.34,0.56,545.0,N,VIIRS,2.0,296.97,6.31,D,0.0,POINT (105.1884 10.27539),0.0,VNM.1_1,VNM,Vietnam,1,1
568,2023-03-23,35.4,24.2,95,0.0,10.7,23.41,An Giang,10.5216,105.1259,0.4,2.2,An Giang_2023-03-23,10.43528,105.04004,0.34,0.56,545.0,N,VIIRS,2.0,296.33,7.5,D,0.0,POINT (105.04004 10.43528),0.0,VNM.1_1,VNM,Vietnam,1,1
572,2023-03-23,35.4,24.2,95,0.0,10.7,23.41,An Giang,10.5216,105.1259,0.4,2.2,An Giang_2023-03-23,10.40719,105.03227,0.34,0.56,545.0,N,VIIRS,2.0,296.44,13.12,D,0.0,POINT (105.03227 10.40719),0.0,VNM.1_1,VNM,Vietnam,1,1
575,2023-03-23,35.4,24.2,95,0.0,10.7,23.41,An Giang,10.5216,105.1259,0.4,2.2,An Giang_2023-03-23,10.38204,105.1558,0.34,0.56,545.0,N,VIIRS,2.0,296.04,4.54,D,0.0,POINT (105.1558 10.38204),0.0,VNM.1_1,VNM,Vietnam,1,1
583,2023-03-23,35.4,24.2,95,0.0,10.7,23.41,An Giang,10.5216,105.1259,0.4,2.2,An Giang_2023-03-23,10.30856,105.07971,0.34,0.56,545.0,N,VIIRS,2.0,296.59,8.43,D,0.0,POINT (105.07971 10.30856),0.0,VNM.1_1,VNM,Vietnam,1,1
596,2023-03-23,35.4,24.2,95,0.0,10.7,23.41,An Giang,10.5216,105.1259,0.4,2.2,An Giang_2023-03-23,10.47394,105.28367,0.33,0.55,545.0,N,VIIRS,2.0,297.01,12.77,D,0.0,POINT (105.28367 10.47394),0.0,VNM.1_1,VNM,Vietnam,1,1
612,2023-03-24,36.2,24.1,93,0.0,11.5,23.7,An Giang,10.5216,105.1259,0.4,1.6,An Giang_2023-03-24,10.69244,105.0683,0.56,0.68,707.0,N,VIIRS,2.0,292.43,22.39,D,0.0,POINT (105.0683 10.69244),0.0,VNM.1_1,VNM,Vietnam,1,1
643,2023-03-26,35.2,22.9,91,0.0,16.1,25.55,An Giang,10.5216,105.1259,0.2000000000000001,1.5,An Giang_2023-03-26,10.43092,105.06139,0.43,0.38,629.0,N,VIIRS,2.0,304.25,10.83,D,0.0,POINT (105.06139 10.43092),0.0,VNM.1_1,VNM,Vietnam,1,1
644,2023-03-26,35.2,22.9,91,0.0,16.1,25.55,An Giang,10.5216,105.1259,0.2000000000000001,1.5,An Giang_2023-03-26,10.42515,104.82628,0.42,0.37,629.0,N,VIIRS,2.0,304.6,3.58,D,0.0,POINT (104.82628 10.42515),0.0,VNM.1_1,VNM,Vietnam,1,0
657,2023-03-26,35.2,22.9,91,0.0,16.1,25.55,An Giang,10.5216,105.1259,0.2000000000000001,1.5,An Giang_2023-03-26,10.53474,105.13377,0.43,0.38,629.0,N,VIIRS,2.0,303.93,4.71,D,0.0,POINT (105.13377 10.53474),0.0,VNM.1_1,VNM,Vietnam,1,0
659,2023-03-26,35.2,22.9,91,0.0,16.1,25.55,An Giang,10.5216,105.1259,0.2000000000000001,1.5,An Giang_2023-03-26,10.53299,105.22248,0.43,0.38,629.0,N,VIIRS,2.0,303.39,3.98,D,0.0,POINT (105.22248 10.53299),0.0,VNM.1_1,VNM,Vietnam,1,0
665,2023-03-26,35.2,22.9,91,0.0,16.1,25.55,An Giang,10.5216,105.1259,0.2000000000000001,1.5,An Giang_2023-03-26,10.49944,105.06718,0.43,0.38,629.0,N,VIIRS,2.0,303.46,3.54,D,0.0,POINT (105.06718 10.49944),0.0,VNM.1_1,VNM,Vietnam,1,0
668,2023-03-26,35.2,22.9,91,0.0,16.1,25.55,An Giang,10.5216,105.1259,0.2000000000000001,1.5,An Giang_2023-03-26,10.49085,105.22868,0.43,0.38,629.0,N,VIIRS,2.0,302.25,2.33,D,0.0,POINT (105.22868 10.49085),0.0,VNM.1_1,VNM,Vietnam,1,0
670,2023-03-26,35.2,22.9,91,0.0,16.1,25.55,An Giang,10.5216,105.1259,0.2000000000000001,1.5,An Giang_2023-03-26,10.48178,105.31505,0.44,0.38,629.0,N,VIIRS,2.0,302.51,2.11,D,0.0,POINT (105.31505 10.48178),0.0,VNM.1_1,VNM,Vietnam,1,0
